,0,1,Skill development/learning,Work-Life balance,Compensation & Benefits,Company culture,Job Security,Career growth & opportunities,Work Satisfaction,Sum
357,Job security is the only thing which is good here as they will never fire you even if you just come to the office and logout in the end without doing any work.,"1. If you are dedicated to your work, management will give you the opportunity for a level above but deny for on roll papers stating that it is not in TCS policy. In addition, you would have to work with same salary but yes your work load will get increase as they have given you the opportunity.
2. If you ask something for your benefit like another opportunity/ leave/ release from project, they will behave like you have asked them to give their land and will scolding you. Instances, they will change your seat, start coming on your desk and watching your system to see what work you are doing, change your shift and here tourture will start.
3. TCS has poor transport management. No one listen the employees concern. Here if you will go to the transport head..he simply says "" why are you coming to me"" I am a admin person. If you will talk to another transport member, they ask to talk to the transport head..and this goes in loop which has no end.
4. IT Employees have to pay for transport cabs but there is no deduction for BPS employees.
5. Cafeteria is full of rats roaming around the food which assocites eat on daily basis.",0,0,0,0,1,0,0,1
358,Good to be back taking calls and learning about e commerce,Poor management.,1,0,0,0,0,0,0,1
359,The working environment very good here so challenging task are also done easily.,There is no salary as per work.,0,0,1,1,0,0,0,2
360,Teammates,Politics,0,0,0,0,0,0,0,0
361,"1. Work Life balance.
2. Infrastructure.
3. Timely Trainings to enhance skills.
4. Job Security
5. Cooperative Team mates.
6. Opportunity to travel a lot.
7. Other activities to engage employees other than work like CSR, Gymnasium, Dance groups etc.
8. Work from Home facility.","1. Growth and Compensations are very slow.
2. Appraisals and rewards also happen very minimal.",1,1,1,0,1,0,0,4
362,If you are someone who just needs the job as a side income and not as a path to build a good career and you are not among the highly ambitious ones then cognizant is the best option for you. Job security is there. Office culture is far far better than it's competitors such as Wipro or infy or even TCS to some extent. Work pressure is less.,Politics. Their yearly rating methods. The way they rate employees is completely flawed. The way they make the employees appear annual role development exams is terrible. I am a .net trained guy working in support non technical project here and they force me to write test for iOS development for which no formal training is given nor do they give any iOS developer position after clearing the exam. The exams are just to give ratings to the person based on test scores. Overall I had a very very bad experience here in cognizant and would consider coming to cognizant the single worst mistake of my life.,0,0,0,1,1,0,0,2
363,HGS is good for people who are new to corporate life. You can make lot of friends here and learn corporate culture.,"If you are working in HGS, you should be much caring about your life. Become a robot and start your routine life. There is no fun activities, no relaxation and you'll not get any surprises. It is very hard to maintain your work life balance as most of the times they will ask you to extend the shift (without paying for extra hours) and sometimes call you for work on your week Offs.
Managere and management doesn't care about employees and most of the facilities doesn't reach to employees because of them.
There is no learning and skill developments in HGS as most of the teammates, your TL or managers will speaking in their own native languages.",0,1,1,1,0,0,0,3
364,"Good work environment, good office timings","Salary, career growth, policy not clear, management Partiality",0,0,1,0,0,1,0,2
365,"Training job.. I was travel ticket,agent..data entry on the computers..But simple n good working..I've No heavy work.. Tata motors is A best company, salary is the monthly paid ...no comments..","The work pressure is very high. I have to work 8hrs straight in a day as I have to attend all Travel tickets & hotel chekout details or put the other data entry. There is on job training and freshers, hence senior folks like me have to guide them step by step, which is a wrong some times",0,0,1,0,0,0,0,1
366,"Big learning platform.Management team highly intensive,good working environment.free hand for work.average compensation.",Few people on site level not good they believe in buttering.people get advantage from buttering.,0,0,1,0,0,0,0,1
367,"Being a part of Defence force i.e. Indian Navy, I am very fortunate one and thankful to Indian Navy who gives me a lot.. Indian Navy tought me a lot and gives me various occasions to explore the my ideas and applied the same in betterment of Government institutions..",Since I was a member of Defence Force and I have to available for 24x7 and frequent transfers and posting on War Ships due to this I am unable to give quality time to my old age parents..,1,1,0,0,0,0,1,3
368,Satisfation,Nothing,0,0,0,0,0,0,1,1
369,Salary provided on time,Very less pay for mid level and entry level,0,0,1,0,0,0,0,1
370,The company is open to innovation and readily adopts latest technology. I love the fact I am a part of team that delivers the good services and has a global client base.anorher plus point is the my colleagues come from various cultural backgrounds. I also like the employee rehire policy.,Growth is slow.,0,0,0,0,0,1,0,1
371,"Teammates were amazing,work environment is average,no growth,yes politics was there..",Almost everything.,0,0,0,0,0,1,0,1
372,Enjoyed work,Nothing,0,0,0,0,0,0,0,0
373,It was really great working experience with Essar. Good seniors and colleagues who make alive whole work culture. Lot of people development initiatives taken by management Which give us ample learning opportunity. Off course late evening working cultural make little difficult in manage work life balance. However i would prefer work there again. It set good employer image on me and spent 15 years as first employer.,Late seating was become culture there. However getting existing assignment keep energize me.,1,1,0,1,0,0,0,3
374,Growth apportunities is very good,Our problem is not understood and we are pressured for the transfer and if you can not go then give us resignation otherwise we will get you the resignation..our job is not safe at all. That's why I had to resign,0,0,0,0,1,1,0,2
375,"Zero career growth,  no salary increments,  No personal life,  work on Sunday,  and festivals,  No incentive.  Worst salary in field. No training for new projects.","No job security,  work on also festivals,  sunday.",1,1,1,0,1,1,0,5
376,Marvellous place to work,Nikhil,0,0,0,0,0,0,0,0
377,"Great work life balance,chill atmosphere. If you are looking for relaxed job scene with no aspirations, this is the place to be.","No care for talent or hard work, no career growth plan, they can throw you in any vertical (donot even care about your educational qualifications or your work ex)",0,1,0,0,0,1,0,2
378,.,.,0,0,0,0,0,0,0,0
379,"Being the most innovative company in its domain is one of the most loved thing.
Company policies aim to ensure over all development of its employees. Though this is hindered to great extend by human factors involved in the training management.
It's commonly said among the employees that no matter what happens to RIL, it will never remove employee from company unless and until the employee is the culprit. This is actually good that a private company provides you this level of job security.","Everyone go to a job for money. Salary appraisal is a great issue since it is mainly based on which site /plant you work in. This is mainly HR Problem. The HR is the worst possible one in the company. They discriminate a lot based on your reginality, your level of post etc. They are the deciding factors for career growth. For some it's like riding a speeding train and for others it's like a snail ride. It even takes 5 years to just become eligible for manager post from executive even though you may have more than 10 years of experience. While GETs get promoted to manager level just after one year training. Do not know the logic behind this.",0,0,1,0,1,1,0,3
